file,sensor,segment,label,fault_size,load,position,rpm,bearing_type,mean,std,rms,peak,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor,total_energy,spectral_centroid,spectral_bandwidth,energy_band_1,energy_band_2,energy_band_3,energy_band_4,BPFO_amplitude,BPFO_energy,BPFI_amplitude,BPFI_energy,BSF_amplitude,BSF_energy,FR_amplitude,FR_energy,envelope_mean,envelope_std,envelope_rms,envelope_peak,envelope_spectral_energy,envelope_spectral_centroid,stft_energy,stft_peak_freq,time_concentration,freq_concentration,cwt_energy,cwt_peak_freq
OR007@3_3.mat,DE,0,OR,0.007,3,,1724.0,SKF6205,0.0026716677537405127,0.4429014532830276,0.44290951121962174,1.7891274285255039,0.04426863806435335,1.0522138591974706,4.039487487181878,5.324428825666489,1.318095140178548,6.459303328490445,27372141.68761996,3443.323987565159,2515.6366959019374,289272.29978826444,27019751.146962456,58965.22317887084,4153.017690380085,7.65511536779417,123.84330897857981,133.82890710933896,18102.323004183138,1.729041232896333,5.26537496581669,4.340297254643284,30.741547191700725,0.5231970833752657,0.3371035928942504,0.6223937824196167,1.8792705967638106,15855857.231518164,1745.998016428113,4.759441232782012,2859.375,0.9982076360601883,0.9954272381567983,310108.8446003234,2400.0
OR007@3_3.mat,DE,1,OR,0.007,3,,1724.0,SKF6205,0.003183646498013301,0.4471227598475969,0.4471340939570098,1.8452449669870423,0.05392095284104828,1.0217414639625177,4.126826810850294,5.439731745806659,1.3181390921238718,6.604539078800006,27897195.903045315,3489.66563513201,2612.5162569959525,287749.5533491948,27546277.788307264,58661.36591826794,4507.195470591923,7.805212979736991,137.71133719077886,138.7430905857234,19617.74101424615,3.0098314274977995,30.932174072600052,3.746697923187468,35.00093573759293,0.5288070636845994,0.3394723106677255,0.6283934757083437,1.9222603466937735,16079468.018188462,1922.6288994528886,4.845051891837689,2859.375,0.9982080384114339,0.9954249350245443,315243.5724290962,3000.0
OR007@3_3.mat,DE,2,OR,0.007,3,,1724.0,SKF6205,0.0023191508380312597,0.4492352286522329,0.44924121485326063,1.86026527467935,0.054238815689238516,1.0444517303994276,4.140905182279377,5.454640089656001,1.31725790607296,6.612137613803864,28160069.613621287,3435.2953729985406,2479.5659305929535,290433.6327195595,27808308.966585726,57055.46446152126,4271.549854474077,6.00141256384099,48.55490484629546,135.3583918403526,18602.952578127133,3.77985740706636,33.02930736448714,3.6556411275742566,29.829878646380397,0.5317043749211464,0.3404534906631909,0.6313621160752667,1.974497548306952,16172551.580795586,1939.434225028481,4.898727398689694,2859.375,0.9982083601465634,0.9953768220417206,318871.33788536396,3000.0
OR007@3_3.mat,DE,3,OR,0.007,3,,1724.0,SKF6205,0.0006072933287641114,0.4471626539501741,0.44716306633369257,1.86026527467935,0.04598048539125919,1.0467652649211896,4.160149651740555,5.47202075955368,1.3153422875699325,6.6202743667975135,27899448.36777018,3404.0358038141217,2451.6101597108595,288698.6905905933,27549280.327777505,57216.45747925742,4252.891922819515,7.53422866379385,98.63465977464246,137.71265572531073,19139.713537444924,2.4243561605524055,19.569368063542587,3.1823208957270825,26.53887575090847,0.5292148009187658,0.3389330167938734,0.6284456184782299,1.9742328390372188,16028420.135598186,1984.1263285067425,4.851590092718563,2859.375,0.9982078034809668,0.9953409326251552,315218.5854443858,3000.0
OR007@3_3.mat,DE,4,OR,0.007,3,,1724.0,SKF6205,6.928917524029408e-05,0.44548873032660985,0.4454887357150624,1.8736166592947348,0.05301519237778908,0.9911188117547938,4.205755407681313,5.524955951525598,1.3136655406624271,6.686788776670879,27690859.063205976,3436.2266189269053,2484.8646527218207,286679.5640967983,27342166.519134328,57784.160651374346,4228.819323484614,4.714664708752049,66.26035408945083,139.36983137062464,19807.372851164277,2.1080908158053524,18.819361901268266,3.5619524637059103,21.677059890126824,0.528715475333216,0.3353797159727618,0.6261146921633439,1.8772486503626475,15694104.813849892,1965.6592759141745,4.821707102123243,2859.375,0.9982077742497025,0.9953305059063615,313604.46331606543,2400.0
OR007@3_3.mat,DE,5,OR,0.007,3,,1724.0,SKF6205,0.0006146488786915864,0.444902865356533,0.44490328993579875,1.8814602637821882,0.0437571983878231,1.011189626422568,4.228919646905039,5.555720852105632,1.3137447187419655,6.724570270844724,27618178.213475958,3416.560665269486,2449.6850262155244,274894.4556310971,27280731.272211988,58418.20820323065,4134.2774296449725,7.460555930976768,126.7912497677693,131.19431381015463,17376.127776384918,4.181068133815361,53.504612257719195,4.71746145134122,69.27038013373893,0.5285331762356439,0.3341539587940671,0.6253048748886302,1.9644986036607923,15579595.743111527,1998.8784691835654,4.787200796405979,2859.375,0.9982081022316635,0.9953803687390609,312677.7420936465,2400.0
OR007@3_3.mat,DE,6,OR,0.007,3,,1724.0,SKF6205,0.0005278309107869975,0.44543458075004627,0.4454348934843788,1.8814602637821882,0.03561734947736829,1.0080744252164289,4.22387264963599,5.55018535800085,1.314003952860454,6.716693693234099,27684204.17942758,3436.909799688269,2521.9059114595234,275713.61485476024,27345070.932125613,59232.756647884045,4186.875799317886,7.737238841679437,115.40822110954795,134.95350965914687,18335.760136023237,2.1491889740872145,14.167952095539958,4.853778171034616,47.53298686735405,0.5288019857190481,0.3351313009726505,0.6260547332238848,1.9645730213189962,15670864.266681654,1852.201377505176,4.8093845422274635,2859.375,0.998207455864133,0.9953497556040638,313082.4781042135,2400.0
OR007@3_3.mat,DE,7,OR,0.007,3,,1724.0,SKF6205,-1.9264652494377984e-05,0.4459337375429564,0.4459337379590797,1.9295255823716577,0.04623494553878954,1.0046534304894266,4.326933394191218,5.685314651332234,1.3139362530896834,6.879954214227068,27746207.314816173,3421.105970723949,2483.856121355835,292778.8193791314,27389133.431351118,60143.24501191724,4151.819074005904,6.46161648514357,77.44937462290653,139.68750361138453,19816.663232873736,3.0782598550249602,24.780498055672773,4.20827485914865,33.98444359198984,0.5293625971093219,0.33529376609903294,0.6266152478221378,2.0038027004126246,15686061.793947732,1874.2803564993792,4.816904852411448,3328.125,0.9982073502104661,0.9952279663732263,315136.6991459123,3000.0
OR007@3_3.mat,DE,8,OR,0.007,3,,1724.0,SKF6205,2.209626662242232e-05,0.44321984398207787,0.44321984453287117,2.027157582371658,0.050792943618364166,1.0777029199995338,4.5737067222433785,6.021457240782893,1.3165376808046407,7.2948584592484735,27409515.52647756,3436.6213751905016,2516.922078763693,289499.2850469176,27055621.19115782,60203.86855128172,4191.181721536161,8.362987200479541,154.82490554056227,133.56931424252602,17964.825999684177,4.031427781708018,57.94350648878579,4.782502228181861,76.10904406651056,0.5249289497025528,0.3353400687174087,0.6228991603166772,2.068363083547197,15690394.439084934,1855.3227026609638,4.772059158215051,3328.125,0.998207161169211,0.9953239662093106,311453.723122581,3000.0
OR007@3_3.mat,DE,9,OR,0.007,3,,1724.0,SKF6205,-0.0012880533062829727,0.4407330350892244,0.4407349172691895,2.027157582371658,0.046196658539730734,1.0917287738478736,4.599493942826233,6.0667387518134355,1.3190013569374615,7.362353409634696,27103263.719619334,3476.4133471469777,2592.273405161049,268296.3194571385,26772045.91339194,58619.85065761118,4301.636112641529,7.770122952591317,142.01367931913194,132.70027721333875,17746.989779791398,1.6666301742176641,7.883050226898023,4.302587918117604,45.511708304836496,0.5216252408102794,0.3342935657271727,0.6195523221948002,2.068233547820031,15592616.562292492,1796.671049867879,4.723066102389258,3328.125,0.9982074627770954,0.9953516989413441,306201.1185056816,3000.0
